date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,voids,single_bets,parlay_bets,highest_odds_hit,notes
2026-04-28,3777.0,530,6.0,3783.0,6,1,5,0,0,6,4.356,
2026-04-29,3783.0,320,561.0,4344.0,4,1,3,0,0,4,7.01,
2026-04-30,4344.0,370,-350.0,3994.0,4,0,4,0,0,4,0.0,
2026-05-01,3994.0,570,1039.0,5033.0,6,3,3,0,0,6,5.737,
2026-05-02,5033.0,100,-100.0,4933.0,2,0,2,0,0,2,0.0,
2026-05-03,4933.0,450,-440.0,4493.0,4,0,4,0,0,4,0.0,
2026-05-04,4493.0,10,-10.0,4483.0,1,0,1,0,0,1,0.0,
2026-05-05,4483.0,490,-480.0,4003.0,5,0,5,0,0,5,0.0,
2026-05-06,4003.0,760,-710.0,3293.0,6,0,6,0,0,6,0.0,
2026-05-07,3293.0,450,-420.0,2873.0,4,0,4,0,0,4,0.0,
2026-05-08,2873.0,100,-100.0,2773.0,2,0,2,0,0,2,0.0,
2026-05-09,2773.0,10,-10.0,2763.0,1,0,1,0,0,1,0.0,
2026-05-10,2763.0,190,-190.0,2573.0,5,0,5,0,0,5,0.0,
2026-05-11,2573.0,10,-10.0,2563.0,1,0,1,0,0,1,0.0,
2026-05-12,2563.0,70,-70.0,2493.0,2,0,2,0,0,2,0.0,
2026-05-13,2493.0,10,-10.0,2483.0,1,0,1,0,0,1,0.0,
2026-05-14,2483.0,10,-10.0,2473.0,1,0,1,0,0,1,0.0,
2026-05-15,2473.0,80,-80.0,2393.0,2,0,2,0,0,2,0.0,
2026-05-16,2393.0,100,385.0,2778.0,2,1,0,1,0,2,5.276,
2026-05-17,2778.0,10,-10.0,2768.0,1,0,1,0,0,1,0.0,
2026-05-18,2768.0,180,-170.0,2598.0,4,0,4,0,0,4,0.0,
2026-05-19,2598.0,0,0,2598.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-20,2598.0,10,-10.0,2588.0,1,0,1,0,0,1,0.0,
2026-05-21,2588.0,0,0,2588.0,0,0,0,0,0,0,0,無賽事
2026-05-22,2588.0,0,0,2588.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-23,2588.0,160,-160.0,2428.0,4,0,4,0,0,4,0.0,
2026-05-24,2428.0,200,0.0,2428.0,4,0,0,4,0,4,0.0,
2026-05-25,2428.0,10,0.0,2428.0,1,0,0,1,0,1,0.0,
2026-05-26,2428.0,370,84.0,2512.0,5,1,4,0,0,5,3.787,
2026-05-27,2512.0,10,31.0,2543.0,1,1,0,0,0,1,4.149,
2026-05-28,2543.0,10,0.0,2543.0,1,0,0,1,0,1,0.0,
2026-05-29,2543.0,0,0,2543.0,0,0,0,0,0,0,0,無賽事
2026-05-30,2543.0,0,0,2543.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-31,2543.0,130,-130.0,2413.0,4,0,4,0,0,4,0.0,
2026-06-01,2413.0,0,0,2413.0,0,0,0,0,0,0,0,無賽事
2026-06-02,2413.0,60,-60.0,2353.0,2,0,2,0,0,2,0.0,
2026-06-03,2353.0,10,-10.0,2343.0,1,0,1,0,0,1,0.0,
2026-06-04,2343.0,0,0,2343.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-05,2343.0,0,0,2343.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-06,2343.0,70,160.0,2503.0,2,1,1,0,0,2,3.834,
2026-06-07,2503.0,10,-10.0,2493.0,1,0,1,0,0,1,0.0,
2026-06-08,2493.0,10,-10.0,2483.0,1,0,1,0,0,1,0.0,
2026-06-09,2483.0,80,280.0,2763.0,2,2,0,0,0,2,4.505,
2026-06-10,2763.0,410,-380.0,2383.0,5,0,5,0,0,5,0.0,
2026-06-11,2383.0,0,0,2383.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-12,2383.0,290,952.0,3335.0,5,3,2,0,0,5,8.353,
2026-06-13,3335.0,280,80.0,3415.0,4,1,3,0,0,4,4.502,
2026-06-14,3415.0,250,-250.0,3165.0,4,0,4,0,0,4,0.0,
2026-06-15,3165.0,0,0,3165.0,0,0,0,0,0,0,0,無賽事
