date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-04-09,MLB,823565,single,1,洋基 勝,1.912,0.6135,0.523,0.0905,A,0.038,140,2991.0,LOSS,-140,2851.0,
2026-04-10,MLB,823482,single,1,AZ 勝,2.104,0.5655,0.4753,0.0902,A,0.0344,120,2851.0,WIN,132.0,2983.0,
2026-04-11,MLB,824939,single,1,勇士 勝,2.351,0.5312,0.4254,0.1059,A,0.0369,140,2983.0,LOSS,-140,2843.0,
2026-04-11,MLB,823644,single,1,ATH 勝,2.252,0.5474,0.444,0.1034,A,0.0372,130,2843.0,WIN,163.0,3006.0,
2026-04-11,PARLAY,824939+823644,2-parlay,2,2-串（勇士 勝、ATH 勝）,5.294,0.2908,0.1889,0.5397,PARLAY,0.0189,60,3006.0,LOSS,-60,2946.0,
2026-04-11,PARLAY,824939+823967,2-parlay,2,2-串（勇士 勝、遊騎兵 勝）,5.149,0.2862,0.1942,0.4735,PARLAY,0.0171,50,2946.0,LOSS,-50,2896.0,
2026-04-12,MLB,823642,single,1,ATH 勝,2.138,0.6169,0.4677,0.1492,A,0.0561,200,2896.0,WIN,228.0,3124.0,
2026-04-12,MLB,824859,single,1,金鶯 勝,2.159,0.5488,0.4632,0.0856,A,0.0319,120,3124.0,WIN,139.0,3263.0,
2026-04-12,PARLAY,823642+824859,2-parlay,2,2-串（ATH 勝、金鶯 勝）,4.616,0.3386,0.2166,0.5629,PARLAY,0.0234,80,3263.0,WIN,289.0,3552.0,
2026-04-13,MLB,823073,single,1,紅雀 勝,2.477,0.5253,0.4037,0.1216,A,0.0408,180,3552.0,LOSS,-180,3372.0,
2026-04-13,MLB,825024,single,1,ATH 勝,2.151,0.5709,0.4649,0.106,A,0.0396,170,3372.0,LOSS,-170,3202.0,
2026-04-13,PARLAY,823073+825024,2-parlay,2,2-串（紅雀 勝、ATH 勝）,5.328,0.2999,0.1877,0.5978,PARLAY,0.0207,70,3202.0,LOSS,-70,3132.0,
2026-04-13,PARLAY,823073+823563,2-parlay,2,2-串（紅雀 勝、洋基 勝）,4.897,0.3135,0.2042,0.535,PARLAY,0.0206,60,3132.0,LOSS,-60,3072.0,
2026-04-14,MLB,824935,single,1,馬林魚 勝,1.719,0.7067,0.5817,0.125,A,0.0598,230,3072.0,LOSS,-230,2842.0,
